                       Game of the Rope - Description of the internal state

Ref Coa1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5      Trial
Sta Stat Sta SG Sta SG Sta SG Sta SG Sta SG Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOM           0      0      0      0      0           0      0      0      0      0 - - - . - - -  0  0
SOG           0      0      0      0      0           0      0      0      0      0 - - - . - - -  0  0
TMR ASMT SIT  6 SIT  7 SIT  7 SIT  7 SIT  8 ASMT SIT  7 SIT  5 SIT  7 POS  6 SIT  7 - - - . 4 - -  3  -2
TMR ASMT SIT  6 SIT  7 SIT  7 SIT  7 SIT  8 ASMT SIT  7 SIT  5 POS  7 POS  6 SIT  7 - - - . 4 3 -  3  -2
TMR ASMT SIT  6 POS  7 SIT  7 SIT  7 SIT  8 ASMT SIT  7 SIT  5 POS  7 POS  6 SIT  7 2 - - . 4 3 -  3  -2
TMR ASMT SIT  6 POS  7 SIT  7 SIT  7 SIT  8 ASMT POS  7 SIT  5 POS  7 POS  6 SIT  7 2 - - . 4 3 1  3  -2
TMR ASMT SIT  6 POS  7 SIT  7 POS  7 SIT  8 ASMT POS  7 SIT  5 POS  7 POS  6 SIT  7 2 4 - . 4 3 1  3  -2
TMR ASMT POS  6 POS  7 SIT  7 POS  7 SIT  8 ASMT POS  7 SIT  5 POS  7 POS  6 SIT  7 2 4 1 . 4 3 1  3  -2
TMR WTRL POS  6 POS  7 SIT  7 POS  7 SIT  8 ASMT POS  7 SIT  5 POS  7 POS  6 SIT  7 2 4 1 . 4 3 1  3  -2
TMR WTRL POS  6 POS  7 SIT  7 POS  7 SIT  8 WTRL POS  7 SIT  5 POS  7 POS  6 SIT  7 2 4 1 . 4 3 1  3  -2
WTC WTRL POS  6 POS  7 SIT  7 POS  7 SIT  8 WTRL POS  7 SIT  5 POS  7 POS  6 SIT  7 2 4 1 . 4 3 1  3  -2
WTC WTRL POS  6 POS  7 SIT  7 POS  7 SIT  8 WTRL DYB  7 SIT  5 POS  7 POS  6 SIT  7 2 4 1 . 4 3 1  3  -2
WTC WTRL POS  6 POS  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 POS  7 POS  6 SIT  7 2 4 1 . 4 3 1  3  -2
WTC WTRL DYB  6 POS  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 POS  7 POS  6 SIT  7 2 4 1 . 4 3 1  3  -2
WTC WTRL DYB  6 POS  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 POS  7 DYB  6 SIT  7 2 4 1 . 4 3 1  3  -2
WTC WTRL DYB  6 POS  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 2 4 1 . 4 3 1  3  -2
WTC WTRL DYB  6 DYB  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 2 4 1 . 4 3 1  3  -2
WTC WTRL DYB  6 DYB  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 2 4 1 . 3 1 -  3  -2
WTC WTRL DYB  6 DYB  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 2 4 - . 3 1 -  3  -2
WTC WTRL DYB  6 DYB  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 2 - - . 3 1 -  3  -2
WTC WTRL DYB  6 DYB  7 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 2 - - . 3 - -  4  -2
WTC WTRL DYB  5 DYB  6 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 2 - - . - - -  4  -2
WTC WTRL DYB  5 DYB  6 SIT  7 DYB  7 SIT  8 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 - - - . - - -  4  -2
WTC WFRC DYB  5 DYB  6 SIT  8 DYB  6 SIT  9 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 - - - . - - -  4  -2
WTC WFRC DYB  5 SIT  6 SIT  8 DYB  6 SIT  9 WTRL DYB  7 SIT  5 DYB  7 DYB  6 SIT  7 - - - . - - -  4  -2
WTC WFRC DYB  5 SIT  6 SIT  8 DYB  6 SIT  9 WTRL DYB  7 SIT  5 SIT  7 DYB  6 SIT  7 - - - . - - -  4  -2
WTC WFRC DYB  5 SIT  6 SIT  8 DYB  6 SIT  9 WTRL SIT  7 SIT  5 SIT  7 DYB  6 SIT  7 - - - . - - -  4  -2
WTC WFRC DYB  5 SIT  6 SIT  8 SIT  6 SIT  9 WTRL SIT  7 SIT  5 SIT  7 DYB  6 SIT  7 - - - . - - -  4  -2
WTC WFRC SIT  5 SIT  6 SIT  8 SIT  6 SIT  9 WTRL SIT  7 SIT  5 SIT  7 DYB  6 SIT  7 - - - . - - -  4  -2
WTC WFRC SIT  5 SIT  6 SIT  8 SIT  6 SIT  9 WTRL SIT  7 SIT  5 SIT  7 SIT  6 SIT  7 - - - . - - -  4  -2
TMR WFRC SIT  5 SIT  6 SIT  8 SIT  6 SIT  9 WTRL SIT  7 SIT  5 SIT  7 SIT  6 SIT  7 - - - . - - -  4  -2
TMR WFRC SIT  5 SIT  6 SIT  8 SIT  6 SIT  9 WFRC SIT  6 SIT  6 SIT  6 SIT  5 SIT  8 - - - . - - -  4  -2
TMR WFRC SIT  5 SIT  6 SIT  8 SIT  6 SIT  9 ASMT SIT  6 SIT  6 SIT  6 SIT  5 SIT  8 - - - . - - -  4  -2
TMR ASMT SIT  5 SIT  6 SIT  8 SIT  6 SIT  9 ASMT SIT  6 SIT  6 SIT  6 SIT  5 SIT  8 - - - . - - -  4  -2
TMR ASMT SIT  5 SIT  6 POS  8 SIT  6 SIT  9 ASMT SIT  6 SIT  6 SIT  6 SIT  5 SIT  8 3 - - . - - -  4  -2
TMR ASMT SIT  5 SIT  6 POS  8 SIT  6 SIT  9 ASMT SIT  6 SIT  6 SIT  6 POS  5 SIT  8 3 - - . 4 - -  4  -2
TMR ASMT SIT  5 POS  6 POS  8 SIT  6 SIT  9 ASMT SIT  6 SIT  6 SIT  6 POS  5 SIT  8 3 2 - . 4 - -  4  -2
TMR ASMT SIT  5 POS  6 POS  8 SIT  6 SIT  9 ASMT SIT  6 SIT  6 POS  6 POS  5 SIT  8 3 2 - . 4 3 -  4  -2
TMR ASMT SIT  5 POS  6 POS  8 SIT  6 POS  9 ASMT SIT  6 SIT  6 POS  6 POS  5 SIT  8 3 2 5 . 4 3 -  4  -2
TMR ASMT SIT  5 POS  6 POS  8 SIT  6 POS  9 ASMT SIT  6 SIT  6 POS  6 POS  5 POS  8 3 2 5 . 4 3 5  4  -2
TMR ASMT SIT  5 POS  6 POS  8 SIT  6 POS  9 WTRL SIT  6 SIT  6 POS  6 POS  5 POS  8 3 2 5 . 4 3 5  4  -2
TMR WTRL SIT  5 POS  6 POS  8 SIT  6 POS  9 WTRL SIT  6 SIT  6 POS  6 POS  5 POS  8 3 2 5 . 4 3 5  4  -2
WTC WTRL SIT  5 POS  6 POS  8 SIT  6 POS  9 WTRL SIT  6 SIT  6 POS  6 POS  5 POS  8 3 2 5 . 4 3 5  4  -2
WTC WTRL SIT  5 POS  6 POS  8 SIT  6 POS  9 WTRL SIT  6 SIT  6 POS  6 POS  5 DYB  8 3 2 5 . 4 3 5  4  -2
WTC WTRL SIT  5 POS  6 POS  8 SIT  6 DYB  9 WTRL SIT  6 SIT  6 POS  6 POS  5 DYB  8 3 2 5 . 4 3 5  4  -2
WTC WTRL SIT  5 POS  6 POS  8 SIT  6 DYB  9 WTRL SIT  6 SIT  6 POS  6 DYB  5 DYB  8 3 2 5 . 4 3 5  4  -2
WTC WTRL SIT  5 DYB  6 POS  8 SIT  6 DYB  9 WTRL SIT  6 SIT  6 POS  6 DYB  5 DYB  8 3 2 5 . 4 3 5  4  -2
WTC WTRL SIT  5 DYB  6 POS  8 SIT  6 DYB  9 WTRL SIT  6 SIT  6 DYB  6 DYB  5 DYB  8 3 2 5 . 4 3 5  4  -2
WTC WTRL SIT  5 DYB  6 DYB  8 SIT  6 DYB  9 WTRL SIT  6 SIT  6 DYB  6 DYB  5 DYB  8 3 2 5 . 4 3 5  4  -2
WTC WTRL SIT  5 DYB  6 DYB  8 SIT  6 DYB  9 WTRL SIT  6 SIT  6 DYB  6 DYB  5 DYB  8 3 5 - . 4 3 5  4  -3
WTC WTRL SIT  5 DYB  6 DYB  8 SIT  6 DYB  9 WTRL SIT  6 SIT  6 DYB  6 DYB  5 DYB  8 3 5 - . 3 5 -  4  -3
